MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10307679119,000000000023705340,0.3970,Active Import Interval (kWh),31-08-2025 03:00
10307679119,000000000023705340,0.3800,Active Import Interval (kWh),31-08-2025 02:30
10307679119,000000000023705340,0.2220,Active Import Interval (kWh),31-08-2025 02:00
10307679119,000000000023705340,0.2400,Active Import Interval (kWh),31-08-2025 01:30
10307679119,000000000023705340,0.2730,Active Import Interval (kWh),31-08-2025 01:00
10307679119,000000000023705340,0.3060,Active Import Interval (kWh),31-08-2025 00:30
10307679119,000000000023705340,0.3860,Active Import Interval (kWh),31-08-2025 00:00
10307679119,000000000023705340,0.5930,Active Import Interval (kWh),30-08-2025 23:30
10307679119,000000000023705340,0.6570,Active Import Interval (kWh),30-08-2025 23:00
10307679119,000000000023705340,0.5050,Active Import Interval (kWh),30-08-2025 22:30
10307679119,000000000023705340,0.3480,Active Import Interval (kWh),30-08-2025 22:00
10307679119,000000000023705340,0.5970,Active Import Interval (kWh),30-08-2025 21:30
10307679119,000000000023705340,0.3850,Active Import Interval (kWh),30-08-2025 21:00
10307679119,000000000023705340,0.8770,Active Import Interval (kWh),30-08-2025 20:30
10307679119,000000000023705340,0.7790,Active Import Interval (kWh),30-08-2025 20:00
10307679119,000000000023705340,0.1170,Active Import Interval (kWh),30-08-2025 19:30
10307679119,000000000023705340,0.1520,Active Import Interval (kWh),30-08-2025 19:00
10307679119,000000000023705340,0.1470,Active Import Interval (kWh),30-08-2025 18:30
10307679119,000000000023705340,0.1400,Active Import Interval (kWh),30-08-2025 18:00
10307679119,000000000023705340,1.0480,Active Import Interval (kWh),30-08-2025 17:30
10307679119,000000000023705340,0.1670,Active Import Interval (kWh),30-08-2025 17:00
10307679119,000000000023705340,0.1380,Active Import Interval (kWh),30-08-2025 16:30
10307679119,000000000023705340,0.1480,Active Import Interval (kWh),30-08-2025 16:00
10307679119,000000000023705340,0.1440,Active Import Interval (kWh),30-08-2025 15:30
10307679119,000000000023705340,0.1270,Active Import Interval (kWh),30-08-2025 15:00
10307679119,000000000023705340,0.1260,Active Import Interval (kWh),30-08-2025 14:30
10307679119,000000000023705340,0.1350,Active Import Interval (kWh),30-08-2025 14:00
10307679119,000000000023705340,0.1690,Active Import Interval (kWh),30-08-2025 13:30
10307679119,000000000023705340,1.4310,Active Import Interval (kWh),30-08-2025 13:00
10307679119,000000000023705340,1.7170,Active Import Interval (kWh),30-08-2025 12:30
10307679119,000000000023705340,1.0760,Active Import Interval (kWh),30-08-2025 12:00
10307679119,000000000023705340,0.4330,Active Import Interval (kWh),30-08-2025 11:30
10307679119,000000000023705340,0.9280,Active Import Interval (kWh),30-08-2025 11:00
10307679119,000000000023705340,0.3130,Active Import Interval (kWh),30-08-2025 10:30
10307679119,000000000023705340,0.2450,Active Import Interval (kWh),30-08-2025 10:00
10307679119,000000000023705340,0.2580,Active Import Interval (kWh),30-08-2025 09:30
10307679119,000000000023705340,0.2670,Active Import Interval (kWh),30-08-2025 09:00
10307679119,000000000023705340,0.1950,Active Import Interval (kWh),30-08-2025 08:30
10307679119,000000000023705340,0.1970,Active Import Interval (kWh),30-08-2025 08:00
10307679119,000000000023705340,0.1990,Active Import Interval (kWh),30-08-2025 07:30
10307679119,000000000023705340,0.1950,Active Import Interval (kWh),30-08-2025 07:00
10307679119,000000000023705340,0.1900,Active Import Interval (kWh),30-08-2025 06:30
10307679119,000000000023705340,0.2030,Active Import Interval (kWh),30-08-2025 06:00
10307679119,000000000023705340,0.2610,Active Import Interval (kWh),30-08-2025 05:30
10307679119,000000000023705340,2.2240,Active Import Interval (kWh),30-08-2025 05:00
10307679119,000000000023705340,1.4320,Active Import Interval (kWh),30-08-2025 04:30
10307679119,000000000023705340,0.1100,Active Import Interval (kWh),30-08-2025 04:00
10307679119,000000000023705340,0.1430,Active Import Interval (kWh),30-08-2025 03:30
10307679119,000000000023705340,0.1520,Active Import Interval (kWh),30-08-2025 03:00
10307679119,000000000023705340,0.1640,Active Import Interval (kWh),30-08-2025 02:30
10307679119,000000000023705340,0.1830,Active Import Interval (kWh),30-08-2025 02:00
10307679119,000000000023705340,0.2680,Active Import Interval (kWh),30-08-2025 01:30
10307679119,000000000023705340,0.3150,Active Import Interval (kWh),30-08-2025 01:00
10307679119,000000000023705340,0.3080,Active Import Interval (kWh),30-08-2025 00:30
10307679119,000000000023705340,0.5060,Active Import Interval (kWh),30-08-2025 00:00
10307679119,000000000023705340,0.5140,Active Import Interval (kWh),29-08-2025 23:30
10307679119,000000000023705340,0.3160,Active Import Interval (kWh),29-08-2025 23:00
10307679119,000000000023705340,0.3700,Active Import Interval (kWh),29-08-2025 22:30
10307679119,000000000023705340,0.4860,Active Import Interval (kWh),29-08-2025 22:00
10307679119,000000000023705340,0.5270,Active Import Interval (kWh),29-08-2025 21:30
10307679119,000000000023705340,0.4010,Active Import Interval (kWh),29-08-2025 21:00
10307679119,000000000023705340,0.3800,Active Import Interval (kWh),29-08-2025 20:30
10307679119,000000000023705340,0.4980,Active Import Interval (kWh),29-08-2025 20:00
10307679119,000000000023705340,0.3300,Active Import Interval (kWh),29-08-2025 19:30
10307679119,000000000023705340,0.2340,Active Import Interval (kWh),29-08-2025 19:00
10307679119,000000000023705340,0.3630,Active Import Interval (kWh),29-08-2025 18:30
10307679119,000000000023705340,1.0470,Active Import Interval (kWh),29-08-2025 18:00
10307679119,000000000023705340,1.0630,Active Import Interval (kWh),29-08-2025 17:30
10307679119,000000000023705340,1.0080,Active Import Interval (kWh),29-08-2025 17:00
10307679119,000000000023705340,1.5960,Active Import Interval (kWh),29-08-2025 16:30
10307679119,000000000023705340,0.3830,Active Import Interval (kWh),29-08-2025 16:00
10307679119,000000000023705340,0.2360,Active Import Interval (kWh),29-08-2025 15:30
10307679119,000000000023705340,0.3270,Active Import Interval (kWh),29-08-2025 15:00
10307679119,000000000023705340,0.3600,Active Import Interval (kWh),29-08-2025 14:30
10307679119,000000000023705340,0.3770,Active Import Interval (kWh),29-08-2025 14:00
10307679119,000000000023705340,0.2590,Active Import Interval (kWh),29-08-2025 13:30
10307679119,000000000023705340,0.1940,Active Import Interval (kWh),29-08-2025 13:00
10307679119,000000000023705340,0.2720,Active Import Interval (kWh),29-08-2025 12:30
10307679119,000000000023705340,0.2650,Active Import Interval (kWh),29-08-2025 12:00
10307679119,000000000023705340,0.1780,Active Import Interval (kWh),29-08-2025 11:30
10307679119,000000000023705340,0.1880,Active Import Interval (kWh),29-08-2025 11:00
10307679119,000000000023705340,0.2860,Active Import Interval (kWh),29-08-2025 10:30
10307679119,000000000023705340,0.1740,Active Import Interval (kWh),29-08-2025 10:00
10307679119,000000000023705340,0.1590,Active Import Interval (kWh),29-08-2025 09:30
10307679119,000000000023705340,0.1760,Active Import Interval (kWh),29-08-2025 09:00
10307679119,000000000023705340,0.1820,Active Import Interval (kWh),29-08-2025 08:30
10307679119,000000000023705340,0.1670,Active Import Interval (kWh),29-08-2025 08:00
10307679119,000000000023705340,0.2990,Active Import Interval (kWh),29-08-2025 07:30
10307679119,000000000023705340,0.1320,Active Import Interval (kWh),29-08-2025 07:00
10307679119,000000000023705340,1.3690,Active Import Interval (kWh),29-08-2025 06:30
